,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,unregistered,registered,score,sum_click
0,AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,0,0,0,934
1,AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,0,0,0,1435
2,AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,0,0,0,2158
3,AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,0,0,1,1034
4,AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,0,0,0,2445
5,AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,0,0,0,1492
6,AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,0,1428
7,AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,0,0,0,1894
8,AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,0,0,0,3158
9,AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,0,0,0,1319
10,AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,0,0,0,1732
11,AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,0,0,0,1102
12,AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,0,0,0,3388
13,AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,0,0,0,2737
14,AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,1,1,0,176
15,AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,0,0,0,176
16,AAA,2014J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,1,1,0,176
17,AAA,2014J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,0,0,0,176
18,AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,0,0,1,1053
19,AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,0,0,0,2327
20,AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,0,0,1,116
21,AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,0,0,0,2992
22,AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,0,0,0,680
23,AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,0,0,0,1494
24,AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1,1,0,1240
25,AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,0,0,0,1240
26,AAA,2014J,94961,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,1,1,0,1240
27,AAA,2014J,94961,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,0,0,0,1240
28,AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,0,0,0,2839
29,AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,0,0,0,744
